code,adcode,name,tel,postcode
1100,110000,北京,010,100000
1200,120000,天津,022,300000
1300,130000,河北,,
1301,130100,石家庄,0311,050000
1302,130200,唐山,0315,063000
1303,130300,秦皇岛,0335,066000
1304,130400,邯郸,0310,056000
1305,130500,邢台,0319,054000
1306,130600,保定,0312,071000
1307,130700,张家口,0313,075000
1308,130800,承德,0314,067000
1309,130900,沧州,0317,061000
1310,131000,廊坊,0316,065000
1311,131100,衡水,0318,053000
1400,140000,山西,,
1401,140100,太原,0351,030000
1402,140200,大同,0352,037000
1403,140300,阳泉,0353,045000
1404,140400,长治,0355,046000
1405,140500,晋城,0356,048000
1406,140600,朔州,0349,036000
1407,140700,晋中,0354,030600
1408,140800,运城,0359,044000
1409,140900,忻州,0350,034000
1410,141000,临汾,0357,041000
1411,141100,吕梁,0358,033000
1500,150000,内蒙古,,
1501,150100,呼和浩特,0471,010000
1502,150200,包头,0472,014000
1503,150300,乌海,0473,016000
1504,150400,赤峰,0476,024000
1505,150500,通辽,0475,028000
1506,150600,鄂尔多斯,0477,017000
1507,150700,呼伦贝尔,0470,021000
1508,150800,巴彦淖尔,0478,015000
1509,150900,乌兰察布,0474,012000
1522,152200,兴安盟,0482,137400
1525,152500,锡林郭勒,0479,026000
1529,152900,阿拉善,0483,750300
2100,210000,辽宁,,
2101,210100,沈阳,024,110000
2102,210200,大连,0411,116000
2103,210300,鞍山,0412,114000
2104,210400,抚顺,024,113000
2105,210500,本溪,024,117000
2106,210600,丹东,0415,118000
2107,210700,锦州,0416,121000
2108,210800,营口,0417,115000
2109,210900,阜新,0418,123000
2110,211000,辽阳,0419,111000
2111,211100,盘锦,0427,124000
2112,211200,铁岭,024,112000
2113,211300,朝阳,0421,122000
2114,211400,葫芦岛,0429,125000
2200,220000,吉林,,
2201,220100,长春,0431,130000
2202,220200,吉林,0432,132000
2203,220300,四平,0434,136000
2204,220400,辽源,0437,136200
2205,220500,通化,0435,134000
2206,220600,白山,0439,134300
2207,220700,松原,0438,138000
2208,220800,白城,0436,137000
2224,222400,延边,0433,133000
2300,230000,黑龙江,,
2301,230100,哈尔滨,0451,150000
2302,230200,齐齐哈尔,0452,161000
2303,230300,鸡西,0467,158100
2304,230400,鹤岗,0468,154100
2305,230500,双鸭山,0469,155100
2306,230600,大庆,0459,163000
2307,230700,伊春,0458,153000
2308,230800,佳木斯,0454,154000
2309,230900,七台河,0464,154600
2310,231000,牡丹江,0453,157000
2311,231100,黑河,0456,164300
2312,231200,绥化,0455,152000
2327,232700,大兴安岭,0457,165000
3100,310000,上海,021,200000
3200,320000,江苏,,
3201,320100,南京,025,210000
3202,320200,无锡,0510,214000
3203,320300,徐州,0516,221000
3204,320400,常州,0519,213000
3205,320500,苏州,0512,215000
3206,320600,南通,0513,226000
3207,320700,连云港,0518,222000
3208,320800,淮安,0517,223000
3209,320900,盐城,0515,224000
3210,321000,扬州,0514,225000
3211,321100,镇江,0511,212000
3212,321200,泰州,0523,225300
3213,321300,宿迁,0527,223800
3300,330000,浙江,,
3301,330100,杭州,0571,310000
3302,330200,宁波,0574,315000
3303,330300,温州,0577,325000
3304,330400,嘉兴,0573,314000
3305,330500,湖州,0572,313000
3306,330600,绍兴,0575,312000
3307,330700,金华,0579,321000
3308,330800,衢州,0570,324000
3309,330900,舟山,0580,316000
3310,331000,台州,0576,318000
3311,331100,丽水,0578,323000
3400,340000,安徽,,
3401,340100,合肥,0551,230000
3402,340200,芜湖,0553,241000
3403,340300,蚌埠,0552,233000
3404,340400,淮南,0554,232000
3405,340500,马鞍山,0555,243000
3406,340600,淮北,0561,235000
3407,340700,铜陵,0562,244000
3408,340800,安庆,0556,246000
3410,341000,黄山,0559,242700
3411,341100,滁州,0550,239000
3412,341200,阜阳,0558,236000
3413,341300,宿州,0557,234000
3415,341500,六安,0564,237000
3416,341600,亳州,0558,236000
3417,341700,池州,0566,247100
3418,341800,宣城,0563,242000
3500,350000,福建,,
3501,350100,福州,0591,350000
3502,350200,厦门,0592,361000
3503,350300,莆田,0594,351100
3504,350400,三明,0598,365000
3505,350500,泉州,0595,362000
3506,350600,漳州,0596,363000
3507,350700,南平,0599,353000
3508,350800,龙岩,0597,364000
3509,350900,宁德,0593,352000
3600,360000,江西,,
3601,360100,南昌,0791,330000
3602,360200,景德镇,0798,333000
3603,360300,萍乡,0799,337000
3604,360400,九江,0792,332000
3605,360500,新余,0790,338000
3606,360600,鹰潭,0701,335000
3607,360700,赣州,0797,341000
3608,360800,吉安,0796,343000
3609,360900,宜春,0795,336000
3610,361000,抚州,0794,344000
3611,361100,上饶,0793,334000
3700,370000,山东,,
3701,370100,济南,0531,250000
3702,370200,青岛,0532,266000
3703,370300,淄博,0533,255000
3704,370400,枣庄,0632,277000
3705,370500,东营,0546,257000
3706,370600,烟台,0535,264000
3707,370700,潍坊,0536,261000
3708,370800,济宁,0537,272000
3709,370900,泰安,0538,271000
3710,371000,威海,0631,264200
3711,371100,日照,0633,276800
3713,371300,临沂,0539,276000
3714,371400,德州,0534,253000
3715,371500,聊城,0635,252000
3716,371600,滨州,0543,256600
3717,371700,菏泽,0530,274000
4100,410000,河南,,
4101,410100,郑州,0371,450000
4102,410200,开封,0371,475000
4103,410300,洛阳,0379,471000
4104,410400,平顶山,0375,467000
4105,410500,安阳,0372,455000
4106,410600,鹤壁,0392,458000
4107,410700,新乡,0373,453000
4108,410800,焦作,0391,454000
4109,410900,濮阳,0393,457000
4110,411000,许昌,0374,461000
4111,411100,漯河,0395,462000
4112,411200,三门峡,0398,472000
4113,411300,南阳,0377,473000
4114,411400,商丘,0370,476000
4115,411500,信阳,0376,464000
4116,411600,周口,0394,466000
4117,411700,驻马店,0396,463000
4200,420000,湖北,,
4201,420100,武汉,027,430000
4202,420200,黄石,0714,435000
4203,420300,十堰,0719,442000
4205,420500,宜昌,0717,443000
4206,420600,襄阳,0710,441000
4207,420700,鄂州,0711,436000
4208,420800,荆门,0724,448000
4209,420900,孝感,0712,432000
4210,421000,荆州,0716,434000
4211,421100,黄冈,0713,438000
4212,421200,咸宁,0715,437000
4213,421300,随州,0722,441300
4228,422800,恩施,0718,445000
4300,430000,湖南,,
4301,430100,长沙,0731,410000
4302,430200,株洲,0731,412000
4303,430300,湘潭,0731,411100
4304,430400,衡阳,0734,421000
4305,430500,邵阳,0739,422000
4306,430600,岳阳,0730,414000
4307,430700,常德,0736,415000
4308,430800,张家界,0744,427000
4309,430900,益阳,0737,413000
4310,431000,郴州,0735,423000
4311,431100,永州,0746,425000
4312,431200,怀化,0745,418000
4313,431300,娄底,0738,417000
4331,433100,湘西,0743,416000
4400,440000,广东,,
4401,440100,广州,020,510000
4402,440200,韶关,0751,512000
4403,440300,深圳,0755,518000
4404,440400,珠海,0756,519000
4405,440500,汕头,0754,515000
4406,440600,佛山,0757,528000
4407,440700,江门,0750,529000
4408,440800,湛江,0759,524000
4409,440900,茂名,0668,525000
4412,441200,肇庆,0758,526000
4413,441300,惠州,0752,516000
4414,441400,梅州,0753,514000
4415,441500,汕尾,0660,516600
4416,441600,河源,0762,517000
4417,441700,阳江,0662,529500
4418,441800,清远,0763,511500
4419,441900,东莞,0769,523000
4420,442000,中山,0760,528400
4451,445100,潮州,0768,521000
4452,445200,揭阳,0663,522000
4453,445300,云浮,0766,527300
4500,450000,广西,,
4501,450100,南宁,0771,530000
4502,450200,柳州,0772,545000
4503,450300,桂林,0773,541000
4504,450400,梧州,0774,543000
4505,450500,北海,0779,536000
4506,450600,防城港,0770,538000
4507,450700,钦州,0777,535000
4508,450800,贵港,0775,537100
4509,450900,玉林,0775,537000
4510,451000,百色,0776,533000
4511,451100,贺州,0774,542800
4512,451200,河池,0778,547000
4513,451300,来宾,0772,546100
4514,451400,崇左,0771,532200
4600,460000,海南,,
4601,460100,海口,0898,570000
4602,460200,三亚,0898,572000
4603,460300,三沙,0898,573199
4604,460400,儋州,0898,571700
5000,500000,重庆,023,400000
5100,510000,四川,,
5101,510100,成都,028,610000
5103,510300,自贡,0813,643000
5104,510400,攀枝花,0812,617000
5105,510500,泸州,0830,646000
5106,510600,德阳,0838,618000
5107,510700,绵阳,0816,621000
5108,510800,广元,0839,628000
5109,510900,遂宁,0825,629000
5110,511000,内江,0832,641000
5111,511100,乐山,0833,614000
5113,511300,南充,0817,637000
5114,511400,眉山,028,620000
5115,511500,宜宾,0831,644000
5116,511600,广安,0826,638000
5117,511700,达州,0818,635000
5118,511800,雅安,0835,625000
5119,511900,巴中,0827,636600
5120,512000,资阳,028,641300
5132,513200,阿坝,0837,624000
5133,513300,甘孜,0836,626000
5134,513400,凉山,0834,615000
5200,520000,贵州,,
5201,520100,贵阳,0851,550000
5202,520200,六盘水,0858,553000
5203,520300,遵义,0851,563000
5204,520400,安顺,0851,561000
5205,520500,毕节,0857,551700
5206,520600,铜仁,0856,554300
5223,522300,黔西,0859,562400
5226,522600,黔东,0855,556000
5227,522700,黔南,0854,558000
5300,530000,云南,,
5301,530100,昆明,0871,650000
5303,530300,曲靖,0874,655000
5304,530400,玉溪,0877,653100
5305,530500,保山,0875,678000
5306,530600,昭通,0870,657000
5307,530700,丽江,0888,674100
5308,530800,普洱,0879,665000
5309,530900,临沧,0883,677000
5323,532300,楚雄,0878,675000
5325,532500,红河,0873,661400
5326,532600,文山,0876,663000
5328,532800,西双版纳,0691,666100
5329,532900,大理,0872,671000
5331,533100,德宏,0692,678400
5333,533300,怒江,0886,673100
5334,533400,迪庆,0887,674400
5400,540000,西藏,,
5401,540100,拉萨,0891,850000
5402,540200,日喀则,0892,857000
5403,540300,昌都,0895,854000
5404,540400,林芝,0894,860000
5405,540500,山南,0893,856000
5406,540600,那曲,0896,852000
5425,542500,阿里,0897,859000
6100,610000,陕西,,
6101,610100,西安,029,710000
6102,610200,铜川,0919,727000
6103,610300,宝鸡,0917,721000
6104,610400,咸阳,029,712000
6105,610500,渭南,0913,714000
6106,610600,延安,0911,716000
6107,610700,汉中,0916,723000
6108,610800,榆林,0912,719000
6109,610900,安康,0915,725000
6110,611000,商洛,0914,726000
6200,620000,甘肃,,
6201,620100,兰州,0931,730000
6202,620200,嘉峪关,0937,735100
6203,620300,金昌,0935,737100
6204,620400,白银,0943,730900
6205,620500,天水,0938,741000
6206,620600,武威,0935,733000
6207,620700,张掖,0936,734000
6208,620800,平凉,0933,744000
6209,620900,酒泉,0937,735000
6210,621000,庆阳,0934,745000
6211,621100,定西,0932,743000
6212,621200,陇南,0939,742500
6229,622900,临夏,0930,731100
6230,623000,甘南,0941,747000
6300,630000,青海,,
6301,630100,西宁,0971,810000
6302,630200,海东,0972,810600
6322,632200,海北,0970,812200
6323,632300,黄南,0973,811300
6325,632500,海南,0974,813000
6326,632600,果洛,0975,814000
6327,632700,玉树,0976,815000
6328,632800,海西,0977,817000
6400,640000,宁夏,,
6401,640100,银川,0951,750000
6402,640200,石嘴山,0952,753000
6403,640300,吴忠,0953,751100
6404,640400,固原,0954,756000
6405,640500,中卫,0955,755000
6500,650000,新疆,,
6501,650100,乌鲁木齐,0991,830000
6502,650200,克拉玛依,0990,834000
6504,650400,吐鲁番,0995,838000
6505,650500,哈密,0902,839000
6523,652300,昌吉,0994,831100
6527,652700,博尔塔拉,0909,833400
6528,652800,巴音郭楞,0996,841000
6529,652900,阿克苏,0997,843000
6530,653000,克孜勒苏柯尔克孜,0908,845350
6531,653100,喀什,0998,844000
6532,653200,和田,0903,848000
6540,654000,伊犁,0999,835000
6542,654200,塔城,0901,834700
6543,654300,阿勒泰,0906,836500
6591,659001,石河子,0993,832000
6592,659002,阿拉尔,0997,843300
6593,659003,图木舒克,0998,843806
6594,659004,五家渠,0994,831300
6595,659005,北屯,0906,836000
6596,659006,铁门关,0996,841007
6597,659007,双河,0909,833408
6598,659008,可克达拉,0999,835219
6599,659009,昆玉,0903,848116
6590,659010,胡杨河,0992,834034
7100,710000,台湾,886,
8100,810000,香港,852,
8200,820000,澳门,853,
